
2024/03/12 (17:17:48) | ===> btop++ v.1.3.2
2024/03/12 (17:17:48) | INFO: Logger set to INFO
2024/03/12 (17:17:48) | INFO: Logger set to INFO
2024/03/12 (17:17:49) | INFO: Logger set to DEBUG
2024/03/12 (17:17:49) | INFO: Logger set to INFO
2024/03/12 (17:17:51) | INFO: Logger set to INFO

2024/07/31 (18:49:16) | ===> btop++ v.1.3.2
2024/07/31 (18:49:16) | ERROR: Stall in Runner thread, restarting!
2024/07/31 (18:54:48) | ERROR: Stall in Runner thread, restarting!
2024/07/31 (18:59:46) | WARNING: Failed to join _runner thread on exit!
